Name,Primary Segment,Units Sold,Inventory,Revision Date,Age Dec.31,MTBF,Pfmn Coord,Size,Price,Material Cost,Labor Cost,Contribution Margin,2nd Shift & Over-time,Auto. Next Round,Capacity Next Round,Plant Utilization
NameDot,Primary SegmentPerformance,Units Sold430,Inventory341,Revision Date14-June-2026,Age Dec.313.5,"MTBF25,000",Pfmn Coord9.4,Size15.5,Price$27.75,Material Cost$14.81,Labor Cost$9.58,Contribution Margin2.3%,2nd Shift & Over-time16.7%,Auto. Next Round4,Capacity Next Round750,Plant Utilization117%
NameDuck,Primary SegmentHigh End,Units Sold458,Inventory523,Revision Date17-Feb-2026,Age Dec.312.7,"MTBF23,000",Pfmn Coord8,Size12,Price$31.75,Material Cost$14.84,Labor Cost$9.20,Contribution Margin12.4%,2nd Shift & Over-time5.6%,Auto. Next Round4,"Capacity Next Round1,000",Plant Utilization106%
NameDune,Primary SegmentSize,Units Sold333,Inventory422,Revision Date6-Nov-2026,Age Dec.313.6,"MTBF19,000",Pfmn Coord4,Size11,Price$25.75,Material Cost$12.60,Labor Cost$9.58,Contribution Margin-0.8%,2nd Shift & Over-time16.7%,Auto. Next Round4,Capacity Next Round800,Plant Utilization117%
Name,,,,,,,,,,,,,,,,
NameEat,Primary SegmentTraditional,"Units Sold1,699",Inventory0,Revision Date18-Mar-2024,Age Dec.312.4,"MTBF18,500",Pfmn Coord5.5,Size14.6,Price$23.50,Material Cost$10.90,Labor Cost$7.85,Contribution Margin18.8%,2nd Shift & Over-time0%,Auto. Next Round5,"Capacity Next Round1,800",Plant Utilization85%
NameEbb,Primary SegmentLow End,"Units Sold1,623",Inventory0,Revision Date27-Apr-2024,Age Dec.313.1,"MTBF14,000",Pfmn Coord2.6,Size16.9,Price$19.25,Material Cost$6.91,Labor Cost$7.12,Contribution Margin25.3%,2nd Shift & Over-time14.3%,Auto. Next Round5.5,"Capacity Next Round1,550",Plant Utilization114%
NameEcho,Primary SegmentHigh End,Units Sold622,Inventory210,Revision Date13-May-2024,Age Dec.311.7,"MTBF23,000",Pfmn Coord8,Size11.3,Price$33.00,Material Cost$15.21,Labor Cost$8.97,Contribution Margin22.8%,2nd Shift & Over-time0%,Auto. Next Round4,Capacity Next Round900,Plant Utilization89%
NameEdge,Primary SegmentPerformance,Units Sold522,Inventory125,Revision Date25-Feb-2024,Age Dec.312.2,"MTBF25,000",Pfmn Coord9.4,Size15.3,Price$32.25,Material Cost$14.88,Labor Cost$8.97,Contribution Margin22.5%,2nd Shift & Over-time0%,Auto. Next Round4,Capacity Next Round600,Plant Utilization96%
NameEgg,Primary SegmentSize,Units Sold552,Inventory6,Revision Date30-June-2024,Age Dec.312.1,"MTBF19,000",Pfmn Coord4.6,Size10.3,Price$31.50,Material Cost$13.24,Labor Cost$8.97,Contribution Margin29%,2nd Shift & Over-time0%,Auto. Next Round4.5,Capacity Next Round600,Plant Utilization83%
Name,,,,,,,,,,,,,,,,
NameFast,Primary SegmentTraditional,Units Sold621,Inventory806,Revision Date25-Nov-2020,Age Dec.314.1,"MTBF17,500",Pfmn Coord5.5,Size14.5,Price$29.00,Material Cost$10.65,Labor Cost$7.85,Contribution Margin24.6%,2nd Shift & Over-time0%,Auto. Next Round5,"Capacity Next Round1,800",Plant Utilization69%
NameFeat,Primary SegmentLow End,"Units Sold1,524",Inventory0,Revision Date26-May-2019,Age Dec.315.6,"MTBF14,000",Pfmn Coord3,Size17,Price$23.50,Material Cost$7.05,Labor Cost$6.94,Contribution Margin39.1%,2nd Shift & Over-time7.1%,Auto. Next Round6,"Capacity Next Round1,500",Plant Utilization107%
NameFist,Primary SegmentHigh End,Units Sold408,Inventory127,Revision Date27-Dec-2024,Age Dec.311.4,"MTBF23,000",Pfmn Coord9.3,Size10.8,Price$39.50,Material Cost$16.12,Labor Cost$8.97,Contribution Margin36%,2nd Shift & Over-time0%,Auto. Next Round3.5,Capacity Next Round900,Plant Utilization56%
NameFoam,Primary SegmentPerformance,Units Sold424,Inventory0,Revision Date9-Aug-2024,Age Dec.311.9,"MTBF27,000",Pfmn Coord10.4,Size15.3,Price$34.50,Material Cost$16.13,Labor Cost$8.97,Contribution Margin28.3%,2nd Shift & Over-time0%,Auto. Next Round4,Capacity Next Round600,Plant Utilization58%
NameFume,Primary SegmentSize,Units Sold372,Inventory67,Revision Date10-Dec-2024,Age Dec.311.8,"MTBF21,000",Pfmn Coord4.7,Size9.6,Price$34.50,Material Cost$14.33,Labor Cost$8.97,Contribution Margin34.4%,2nd Shift & Over-time0%,Auto. Next Round3.5,Capacity Next Round600,Plant Utilization63%
